STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-02-01 00:00:03,2022-01-31 23:55:51,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 00:00:03,2022-01-31 23:58:45,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 00:00:03,2022-01-31 23:53:51,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 00:00:03,2022-01-31 23:58:46,FRANCIS STREET,30,13,16,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 00:30:02,2022-02-01 00:20:24,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 00:30:02,2022-02-01 00:29:02,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 00:30:02,2022-02-01 00:24:08,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 00:30:02,2022-02-01 00:19:52,FRANCIS STREET,30,13,16,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 01:00:03,2022-02-01 00:50:42,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 01:00:03,2022-02-01 00:49:15,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 01:00:03,2022-02-01 00:54:26,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 01:00:03,2022-02-01 00:51:45,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 01:30:02,2022-02-01 01:20:59,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 01:30:02,2022-02-01 01:20:27,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 01:30:02,2022-02-01 01:20:27,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 01:30:02,2022-02-01 01:26:19,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 02:00:03,2022-02-01 01:51:17,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 02:00:03,2022-02-01 01:50:45,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 02:00:03,2022-02-01 01:50:45,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 02:00:03,2022-02-01 01:49:24,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 02:30:02,2022-02-01 02:21:35,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 02:30:02,2022-02-01 02:21:02,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 02:30:02,2022-02-01 02:26:56,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 02:30:02,2022-02-01 02:22:34,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 03:00:03,2022-02-01 02:51:52,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 03:00:03,2022-02-01 02:51:19,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 03:00:03,2022-02-01 02:57:13,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 03:00:03,2022-02-01 02:55:45,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 03:30:03,2022-02-01 03:22:09,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 03:30:03,2022-02-01 03:21:37,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 03:30:03,2022-02-01 03:27:31,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 03:30:03,2022-02-01 03:28:55,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 04:00:03,2022-02-01 03:52:27,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 04:00:03,2022-02-01 03:51:55,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 04:00:03,2022-02-01 03:57:49,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 04:00:03,2022-02-01 03:51:59,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
7,2022-02-01 04:30:03,2022-02-01 04:22:45,HIGH STREET,29,22,7,OPEN,High Street,53.3436,-6.27507,2022,2
45,2022-02-01 04:30:03,2022-02-01 04:22:13,DEVERELL PLACE,30,12,18,OPEN,Deverell Place,53.3515,-6.25527,2022,2
72,2022-02-01 04:30:03,2022-02-01 04:28:07,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2022,2
73,2022-02-01 04:30:03,2022-02-01 04:25:10,FRANCIS STREET,30,14,15,OPEN,Francis Street,53.3421,-6.27523,2022,2
