STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2023-11-01 00:00:03,2023-10-31 23:55:32,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 00:00:03,2023-10-31 23:53:53,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 00:00:03,2023-10-31 23:54:47,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 00:00:03,2023-10-31 23:53:53,FRANCIS STREET,30,27,3,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 00:30:03,2023-11-01 00:27:01,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 00:30:03,2023-11-01 00:24:08,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 00:30:03,2023-11-01 00:25:03,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 00:30:03,2023-11-01 00:24:11,FRANCIS STREET,30,26,4,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 01:00:03,2023-11-01 00:57:45,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 01:00:03,2023-11-01 00:54:25,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 01:00:03,2023-11-01 00:55:21,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 01:00:03,2023-11-01 00:54:30,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 01:30:03,2023-11-01 01:28:27,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 01:30:03,2023-11-01 01:24:41,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 01:30:03,2023-11-01 01:25:38,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 01:30:03,2023-11-01 01:24:46,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 02:00:03,2023-11-01 01:59:10,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 02:00:03,2023-11-01 01:54:56,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 02:00:03,2023-11-01 01:55:54,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 02:00:03,2023-11-01 01:55:03,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 02:30:02,2023-11-01 02:20:56,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 02:30:02,2023-11-01 02:25:13,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 02:30:02,2023-11-01 02:26:11,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 02:30:02,2023-11-01 02:25:20,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 03:00:03,2023-11-01 02:51:39,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 03:00:03,2023-11-01 02:55:29,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 03:00:03,2023-11-01 02:56:28,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 03:00:03,2023-11-01 02:55:36,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 03:30:02,2023-11-01 03:26:10,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 03:30:02,2023-11-01 03:28:38,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 03:30:02,2023-11-01 03:25:40,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 03:30:02,2023-11-01 03:26:39,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 04:00:03,2023-11-01 03:56:51,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 04:00:03,2023-11-01 03:58:55,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 04:00:03,2023-11-01 03:55:55,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 04:00:03,2023-11-01 03:56:54,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 04:30:02,2023-11-01 04:27:31,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 04:30:02,2023-11-01 04:29:11,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 04:30:02,2023-11-01 04:26:11,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 04:30:02,2023-11-01 04:27:09,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 05:00:03,2023-11-01 04:58:13,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 05:00:03,2023-11-01 04:49:22,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 05:00:03,2023-11-01 04:56:26,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 05:00:03,2023-11-01 04:57:25,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 05:30:02,2023-11-01 05:28:31,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
45,2023-11-01 05:30:02,2023-11-01 05:19:40,DEVERELL PLACE,30,16,14,OPEN,Deverell Place,53.3515,-6.25527,2023,11
72,2023-11-01 05:30:02,2023-11-01 05:26:44,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2023,11
73,2023-11-01 05:30:02,2023-11-01 05:27:41,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,11
7,2023-11-01 06:00:02,2023-11-01 05:58:47,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,11
