STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-05-01 00:00:02,2022-04-30 23:52:07,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 00:00:02,2022-04-30 23:50:51,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 00:00:02,2022-04-30 23:55:51,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 00:00:02,2022-04-30 23:58:40,FRANCIS STREET,30,11,19,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 00:30:03,2022-05-01 00:25:29,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 00:30:03,2022-05-01 00:21:10,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 00:30:03,2022-05-01 00:26:10,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 00:30:03,2022-05-01 00:21:09,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 01:00:03,2022-05-01 00:50:26,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 01:00:03,2022-05-01 00:50:28,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 01:00:03,2022-05-01 00:50:27,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 01:00:03,2022-05-01 00:50:26,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 01:30:02,2022-05-01 01:20:43,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 01:30:02,2022-05-01 01:20:47,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 01:30:02,2022-05-01 01:20:46,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 01:30:02,2022-05-01 01:20:44,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 02:00:03,2022-05-01 01:51:01,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 02:00:03,2022-05-01 01:51:06,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 02:00:03,2022-05-01 01:51:05,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 02:00:03,2022-05-01 01:51:01,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 02:30:02,2022-05-01 02:21:19,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 02:30:02,2022-05-01 02:21:25,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 02:30:02,2022-05-01 02:21:23,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 02:30:02,2022-05-01 02:21:19,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 03:00:03,2022-05-01 02:51:39,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 03:00:03,2022-05-01 02:51:44,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 03:00:03,2022-05-01 02:51:42,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 03:00:03,2022-05-01 02:51:39,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 03:30:02,2022-05-01 03:21:57,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 03:30:02,2022-05-01 03:22:03,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 03:30:02,2022-05-01 03:22:01,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 03:30:02,2022-05-01 03:21:57,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 04:00:03,2022-05-01 03:52:14,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 04:00:03,2022-05-01 03:51:57,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 04:00:03,2022-05-01 03:52:20,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 04:00:03,2022-05-01 03:52:14,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
7,2022-05-01 04:30:03,2022-05-01 04:22:31,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,5
45,2022-05-01 04:30:03,2022-05-01 04:21:29,DEVERELL PLACE,30,10,20,OPEN,Deverell Place,53.3515,-6.25527,2022,5
72,2022-05-01 04:30:03,2022-05-01 04:22:39,JOHN STREET WEST,31,23,8,OPEN,John Street West,53.3431,-6.27717,2022,5
73,2022-05-01 04:30:03,2022-05-01 04:22:32,FRANCIS STREET,30,10,20,OPEN,Francis Street,53.3421,-6.27523,2022,5
