STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2023-05-01 00:00:04,2023-04-30 23:57:05,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 00:00:04,2023-04-30 23:55:14,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 00:00:04,2023-04-30 23:54:35,JOHN STREET WEST,31,16,15,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 00:00:04,2023-04-30 23:55:13,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 00:30:02,2023-05-01 00:27:21,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 00:30:02,2023-05-01 00:25:34,DEVERELL PLACE,30,23,7,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 00:30:02,2023-05-01 00:24:58,JOHN STREET WEST,31,18,13,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 00:30:02,2023-05-01 00:25:27,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 01:00:02,2023-05-01 00:57:39,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 01:00:02,2023-05-01 00:59:01,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 01:00:02,2023-05-01 00:55:18,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 01:00:02,2023-05-01 00:55:44,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 01:30:03,2023-05-01 01:27:55,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 01:30:03,2023-05-01 01:26:10,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 01:30:03,2023-05-01 01:25:34,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 01:30:03,2023-05-01 01:25:59,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 02:00:04,2023-05-01 01:58:10,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 02:00:04,2023-05-01 01:56:26,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 02:00:04,2023-05-01 01:55:50,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 02:00:04,2023-05-01 01:56:14,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 02:30:03,2023-05-01 02:28:25,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 02:30:03,2023-05-01 02:26:43,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 02:30:03,2023-05-01 02:26:06,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 02:30:03,2023-05-01 02:26:28,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 03:00:02,2023-05-01 02:58:40,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 03:00:02,2023-05-01 02:56:59,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 03:00:02,2023-05-01 02:56:21,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 03:00:02,2023-05-01 02:56:42,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 03:30:03,2023-05-01 03:28:56,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 03:30:03,2023-05-01 03:27:15,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 03:30:03,2023-05-01 03:26:36,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 03:30:03,2023-05-01 03:26:57,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 04:00:03,2023-05-01 03:59:12,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 04:00:03,2023-05-01 03:57:31,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 04:00:03,2023-05-01 03:56:51,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
73,2023-05-01 04:00:03,2023-05-01 03:57:11,FRANCIS STREET,30,25,5,OPEN,Francis Street,53.3421,-6.27523,2023,5
7,2023-05-01 04:30:03,2023-05-01 04:29:28,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2023,5
45,2023-05-01 04:30:03,2023-05-01 04:27:47,DEVERELL PLACE,30,22,8,OPEN,Deverell Place,53.3515,-6.25527,2023,5
72,2023-05-01 04:30:03,2023-05-01 04:28:32,JOHN STREET WEST,31,17,14,OPEN,John Street West,53.3431,-6.27717,2023,5
