STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-04-01 00:00:02,2022-03-31 23:57:29,HIGH STREET,29,15,13,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 00:00:02,2022-03-31 23:51:22,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 00:00:02,2022-03-31 23:59:40,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 00:00:02,2022-03-31 23:54:00,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 00:30:02,2022-04-01 00:28:17,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 00:30:02,2022-04-01 00:21:44,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 00:30:02,2022-04-01 00:27:54,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 00:30:02,2022-04-01 00:24:18,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 01:00:02,2022-04-01 00:50:28,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 01:00:02,2022-04-01 00:50:26,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 01:00:02,2022-04-01 00:50:31,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 01:00:02,2022-04-01 00:50:28,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 01:30:02,2022-04-01 01:20:47,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 01:30:02,2022-04-01 01:20:45,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 01:30:02,2022-04-01 01:20:50,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 01:30:02,2022-04-01 01:20:46,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 02:00:02,2022-04-01 01:51:07,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 02:00:02,2022-04-01 01:51:03,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 02:00:02,2022-04-01 01:51:09,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 02:00:02,2022-04-01 01:51:04,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 02:30:02,2022-04-01 02:21:25,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 02:30:02,2022-04-01 02:21:22,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 02:30:02,2022-04-01 02:21:28,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 02:30:02,2022-04-01 02:21:21,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 03:00:02,2022-04-01 02:56:11,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 03:00:02,2022-04-01 02:51:41,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
72,2022-04-01 03:00:02,2022-04-01 02:51:47,JOHN STREET WEST,31,24,7,OPEN,John Street West,53.3431,-6.27717,2022,4
73,2022-04-01 03:00:02,2022-04-01 02:51:39,FRANCIS STREET,30,18,12,OPEN,Francis Street,53.3421,-6.27523,2022,4
7,2022-04-01 03:30:03,2022-04-01 03:26:29,HIGH STREET,29,14,14,OPEN,High Street,53.3436,-6.27507,2022,4
45,2022-04-01 03:30:03,2022-04-01 03:22:00,DEVERELL PLACE,30,14,16,OPEN,Deverell Place,53.3515,-6.25527,2022,4
