STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
21,2023-03-01 00:00:04,2023-02-28 22:58:04,LEINSTER STREET SOUTH,30,30,0,OPEN,Leinster Street South,53.3422,-6.25449,2023,3
22,2023-03-01 00:00:04,2023-02-28 22:53:00,TOWNSEND STREET,20,11,8,OPEN,Townsend Street,53.3459,-6.25461,2023,3
27,2023-03-01 00:00:04,2023-02-28 22:52:48,MOLESWORTH STREET,20,20,0,OPEN,Molesworth Street,53.3413,-6.25812,2023,3
32,2023-03-01 00:00:04,2023-02-28 22:58:25,PEARSE STREET,30,17,13,OPEN,Pearse Street,53.3443,-6.25043,2023,3
98,2023-03-01 00:00:04,2023-02-28 22:52:29,FREDERICK STREET SOUTH,40,36,4,OPEN,Frederick Street South,53.3415,-6.25685,2023,3
21,2023-03-01 00:30:03,2023-02-28 22:58:04,LEINSTER STREET SOUTH,30,30,0,OPEN,Leinster Street South,53.3422,-6.25449,2023,3
22,2023-03-01 00:30:03,2023-02-28 22:53:00,TOWNSEND STREET,20,11,8,OPEN,Townsend Street,53.3459,-6.25461,2023,3
27,2023-03-01 00:30:03,2023-02-28 22:52:48,MOLESWORTH STREET,20,20,0,OPEN,Molesworth Street,53.3413,-6.25812,2023,3
32,2023-03-01 00:30:03,2023-02-28 22:58:25,PEARSE STREET,30,17,13,OPEN,Pearse Street,53.3443,-6.25043,2023,3
98,2023-03-01 00:30:03,2023-02-28 22:52:29,FREDERICK STREET SOUTH,40,36,4,OPEN,Frederick Street South,53.3415,-6.25685,2023,3
21,2023-03-01 01:00:03,2023-02-28 22:58:04,LEINSTER STREET SOUTH,30,30,0,OPEN,Leinster Street South,53.3422,-6.25449,2023,3
22,2023-03-01 01:00:03,2023-02-28 22:53:00,TOWNSEND STREET,20,11,8,OPEN,Townsend Street,53.3459,-6.25461,2023,3
27,2023-03-01 01:00:03,2023-02-28 22:52:48,MOLESWORTH STREET,20,20,0,OPEN,Molesworth Street,53.3413,-6.25812,2023,3
