STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-03-01 00:00:02,2022-02-28 23:53:31,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 00:00:02,2022-02-28 23:53:39,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 00:00:02,2022-02-28 23:51:48,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 00:00:02,2022-02-28 23:57:42,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 00:30:03,2022-03-01 00:22:02,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 00:30:03,2022-03-01 00:23:56,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 00:30:03,2022-03-01 00:22:07,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 00:30:03,2022-03-01 00:27:59,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 01:00:04,2022-03-01 00:54:05,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 01:00:04,2022-03-01 00:58:37,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 01:00:04,2022-03-01 00:52:27,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 01:00:04,2022-03-01 00:58:17,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 01:30:02,2022-03-01 01:24:24,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 01:30:02,2022-03-01 01:20:25,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 01:30:02,2022-03-01 01:20:35,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 01:30:02,2022-03-01 01:20:22,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 02:00:02,2022-03-01 01:54:43,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 02:00:02,2022-03-01 01:50:43,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 02:00:02,2022-03-01 01:50:53,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 02:00:02,2022-03-01 01:50:40,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 02:30:03,2022-03-01 02:25:02,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 02:30:03,2022-03-01 02:21:00,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 02:30:03,2022-03-01 02:21:13,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 02:30:03,2022-03-01 02:20:57,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 03:00:03,2022-03-01 02:55:21,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 03:00:03,2022-03-01 02:56:13,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 03:00:03,2022-03-01 02:51:32,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 03:00:03,2022-03-01 02:51:15,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 03:30:03,2022-03-01 03:25:40,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 03:30:03,2022-03-01 03:26:30,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 03:30:03,2022-03-01 03:21:51,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 03:30:03,2022-03-01 03:21:33,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 04:00:03,2022-03-01 03:55:59,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 04:00:03,2022-03-01 03:56:49,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 04:00:03,2022-03-01 03:52:10,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 04:00:03,2022-03-01 03:51:50,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
7,2022-03-01 04:30:03,2022-03-01 04:26:18,HIGH STREET,29,25,4,OPEN,High Street,53.3436,-6.27507,2022,3
45,2022-03-01 04:30:03,2022-03-01 04:27:06,DEVERELL PLACE,30,9,21,OPEN,Deverell Place,53.3515,-6.25527,2022,3
72,2022-03-01 04:30:03,2022-03-01 04:22:29,JOHN STREET WEST,31,22,9,OPEN,John Street West,53.3431,-6.27717,2022,3
73,2022-03-01 04:30:03,2022-03-01 04:22:07,FRANCIS STREET,30,19,11,OPEN,Francis Street,53.3421,-6.27523,2022,3
