STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-12-01 00:00:03,2022-11-30 23:51:45,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,12
45,2022-12-01 00:00:03,2022-11-30 23:57:24,DEVERELL PLACE,30,4,26,OPEN,Deverell Place,53.3515,-6.25527,2022,12
72,2022-12-01 00:00:03,2022-11-30 23:59:47,JOHN STREET WEST,31,20,11,OPEN,John Street West,53.3431,-6.27717,2022,12
7,2022-12-01 00:30:02,2022-12-01 00:26:42,HIGH STREET,29,19,10,OPEN,High Street,53.3436,-6.27507,2022,12
45,2022-12-01 00:30:02,2022-12-01 00:27:39,DEVERELL PLACE,30,4,26,OPEN,Deverell Place,53.3515,-6.25527,2022,12
72,2022-12-01 00:30:02,2022-12-01 00:19:54,JOHN STREET WEST,31,21,10,OPEN,John Street West,53.3431,-6.27717,2022,12
7,2022-12-01 01:00:02,2022-12-01 00:55:10,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,12
45,2022-12-01 01:00:02,2022-12-01 00:58:45,DEVERELL PLACE,30,4,26,OPEN,Deverell Place,53.3515,-6.25527,2022,12
72,2022-12-01 01:00:02,2022-12-01 00:50:27,JOHN STREET WEST,31,21,10,OPEN,John Street West,53.3431,-6.27717,2022,12
7,2022-12-01 01:30:03,2022-12-01 01:25:27,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,12
45,2022-12-01 01:30:03,2022-12-01 01:29:00,DEVERELL PLACE,30,4,26,OPEN,Deverell Place,53.3515,-6.25527,2022,12
72,2022-12-01 01:30:03,2022-12-01 01:20:47,JOHN STREET WEST,31,21,10,OPEN,John Street West,53.3431,-6.27717,2022,12
7,2022-12-01 02:00:03,2022-12-01 01:55:43,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,12
45,2022-12-01 02:00:03,2022-12-01 01:59:15,DEVERELL PLACE,30,4,26,OPEN,Deverell Place,53.3515,-6.25527,2022,12
72,2022-12-01 02:00:03,2022-12-01 01:51:05,JOHN STREET WEST,31,21,10,OPEN,John Street West,53.3431,-6.27717,2022,12
7,2022-12-01 02:30:02,2022-12-01 02:26:00,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,12
45,2022-12-01 02:30:02,2022-12-01 02:29:31,DEVERELL PLACE,30,4,26,OPEN,Deverell Place,53.3515,-6.25527,2022,12
72,2022-12-01 02:30:02,2022-12-01 02:21:24,JOHN STREET WEST,31,21,10,OPEN,John Street West,53.3431,-6.27717,2022,12
7,2022-12-01 03:00:03,2022-12-01 02:56:15,HIGH STREET,29,18,11,OPEN,High Street,53.3436,-6.27507,2022,12
