STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2022-10-01 00:00:02,2022-09-30 23:58:52,HIGH STREET,29,20,9,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 00:00:02,2022-09-30 23:52:50,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 00:00:02,2022-09-30 23:58:08,JOHN STREET WEST,31,20,11,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 00:00:02,2022-09-30 23:57:56,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 00:30:02,2022-10-01 00:28:39,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 00:30:02,2022-10-01 00:23:08,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 00:30:02,2022-10-01 00:23:02,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 00:30:02,2022-10-01 00:27:08,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 01:00:02,2022-10-01 00:50:25,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 01:00:02,2022-10-01 00:50:26,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 01:00:02,2022-10-01 00:50:27,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 01:00:02,2022-10-01 00:50:27,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 01:30:02,2022-10-01 01:22:47,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 01:30:02,2022-10-01 01:22:47,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 01:30:02,2022-10-01 01:22:51,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 01:30:02,2022-10-01 01:22:54,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 02:00:02,2022-10-01 01:53:08,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 02:00:02,2022-10-01 01:53:05,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 02:00:02,2022-10-01 01:53:08,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 02:00:02,2022-10-01 01:53:12,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 02:30:03,2022-10-01 02:23:28,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 02:30:03,2022-10-01 02:23:23,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 02:30:03,2022-10-01 02:23:26,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 02:30:03,2022-10-01 02:23:30,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 03:00:02,2022-10-01 02:53:47,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 03:00:02,2022-10-01 02:53:41,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 03:00:02,2022-10-01 02:53:43,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 03:00:02,2022-10-01 02:53:47,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 03:30:02,2022-10-01 03:24:06,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 03:30:02,2022-10-01 03:23:59,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 03:30:02,2022-10-01 03:24:01,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 03:30:02,2022-10-01 03:24:04,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 04:00:03,2022-10-01 03:54:24,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 04:00:03,2022-10-01 03:54:17,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 04:00:03,2022-10-01 03:54:19,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 04:00:03,2022-10-01 03:54:22,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 04:30:02,2022-10-01 04:24:43,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 04:30:02,2022-10-01 04:24:35,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 04:30:02,2022-10-01 04:27:12,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 04:30:02,2022-10-01 04:24:39,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 05:00:03,2022-10-01 04:55:02,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 05:00:03,2022-10-01 04:54:52,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 05:00:03,2022-10-01 04:57:30,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 05:00:03,2022-10-01 04:54:56,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 05:30:02,2022-10-01 05:19:50,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 05:30:02,2022-10-01 05:20:12,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 05:30:02,2022-10-01 05:20:11,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 05:30:02,2022-10-01 05:20:12,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 06:00:02,2022-10-01 05:50:10,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 06:00:02,2022-10-01 05:50:30,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 06:00:02,2022-10-01 05:50:29,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 06:00:02,2022-10-01 05:50:29,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 06:30:02,2022-10-01 06:20:29,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 06:30:02,2022-10-01 06:20:49,DEVERELL PLACE,30,0,30,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 06:30:02,2022-10-01 06:24:34,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
73,2022-10-01 06:30:02,2022-10-01 06:20:47,FRANCIS STREET,30,11,18,OPEN,Francis Street,53.3421,-6.27523,2022,10
7,2022-10-01 07:00:02,2022-10-01 06:50:47,HIGH STREET,29,21,8,OPEN,High Street,53.3436,-6.27507,2022,10
45,2022-10-01 07:00:02,2022-10-01 06:57:42,DEVERELL PLACE,30,1,29,OPEN,Deverell Place,53.3515,-6.25527,2022,10
72,2022-10-01 07:00:02,2022-10-01 06:59:02,JOHN STREET WEST,31,19,12,OPEN,John Street West,53.3431,-6.27717,2022,10
