STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2023-10-01 00:00:03,2023-09-30 23:55:04,HIGH STREET,29,10,19,OPEN,High Street,53.3436,-6.27507,2023,10
45,2023-10-01 00:00:03,2023-09-30 23:50:03,DEVERELL PLACE,30,26,4,OPEN,Deverell Place,53.3515,-6.25527,2023,10
72,2023-10-01 00:00:03,2023-09-30 23:58:30,JOHN STREET WEST,31,9,22,OPEN,John Street West,53.3431,-6.27717,2023,10
73,2023-10-01 00:00:03,2023-09-30 23:58:00,FRANCIS STREET,30,13,17,OPEN,Francis Street,53.3421,-6.27523,2023,10
7,2023-10-01 00:30:03,2023-10-01 00:28:29,HIGH STREET,29,11,18,OPEN,High Street,53.3436,-6.27507,2023,10
45,2023-10-01 00:30:03,2023-10-01 00:20:19,DEVERELL PLACE,30,26,4,OPEN,Deverell Place,53.3515,-6.25527,2023,10
72,2023-10-01 00:30:03,2023-10-01 00:28:48,JOHN STREET WEST,31,9,22,OPEN,John Street West,53.3431,-6.27717,2023,10
73,2023-10-01 00:30:03,2023-10-01 00:28:43,FRANCIS STREET,30,12,18,OPEN,Francis Street,53.3421,-6.27523,2023,10
7,2023-10-01 01:00:03,2023-10-01 00:55:42,HIGH STREET,29,11,18,OPEN,High Street,53.3436,-6.27507,2023,10
45,2023-10-01 01:00:03,2023-10-01 00:50:35,DEVERELL PLACE,30,26,4,OPEN,Deverell Place,53.3515,-6.25527,2023,10
72,2023-10-01 01:00:03,2023-10-01 00:59:06,JOHN STREET WEST,31,9,22,OPEN,John Street West,53.3431,-6.27717,2023,10
73,2023-10-01 01:00:03,2023-10-01 00:58:59,FRANCIS STREET,30,12,18,OPEN,Francis Street,53.3421,-6.27523,2023,10
7,2023-10-01 01:30:03,2023-10-01 01:25:58,HIGH STREET,29,11,18,OPEN,High Street,53.3436,-6.27507,2023,10
45,2023-10-01 01:30:03,2023-10-01 01:20:50,DEVERELL PLACE,30,26,4,OPEN,Deverell Place,53.3515,-6.25527,2023,10
72,2023-10-01 01:30:03,2023-10-01 01:19:18,JOHN STREET WEST,31,9,22,OPEN,John Street West,53.3431,-6.27717,2023,10
73,2023-10-01 01:30:03,2023-10-01 01:19:11,FRANCIS STREET,30,12,18,OPEN,Francis Street,53.3421,-6.27523,2023,10
7,2023-10-01 02:00:03,2023-10-01 01:56:14,HIGH STREET,29,11,18,OPEN,High Street,53.3436,-6.27507,2023,10
45,2023-10-01 02:00:03,2023-10-01 01:51:06,DEVERELL PLACE,30,26,4,OPEN,Deverell Place,53.3515,-6.25527,2023,10
72,2023-10-01 02:00:03,2023-10-01 01:49:33,JOHN STREET WEST,31,9,22,OPEN,John Street West,53.3431,-6.27717,2023,10
73,2023-10-01 02:00:03,2023-10-01 01:49:26,FRANCIS STREET,30,12,18,OPEN,Francis Street,53.3421,-6.27523,2023,10
