STATION ID,TIME,LAST UPDATED,NAME,BIKE_STANDS,AVAILABLE_BIKE_STANDS,AVAILABLE_BIKES,STATUS,ADDRESS,LATITUDE,LONGITUDE,YEAR,MONTH
7,2023-01-01 00:00:03,2022-12-31 23:54:28,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 00:00:03,2022-12-31 23:51:16,DEVERELL PLACE,30,28,2,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 00:00:03,2022-12-31 23:52:51,JOHN STREET WEST,31,7,24,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 00:30:02,2023-01-01 00:24:47,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 00:30:02,2023-01-01 00:25:28,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 00:30:02,2023-01-01 00:23:08,JOHN STREET WEST,31,7,24,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 01:00:03,2023-01-01 00:50:27,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 01:00:03,2023-01-01 00:50:25,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 01:00:03,2023-01-01 00:51:45,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 01:30:03,2023-01-01 01:20:45,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 01:30:03,2023-01-01 01:20:42,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 01:30:03,2023-01-01 01:22:02,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 02:00:03,2023-01-01 01:51:05,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 02:00:03,2023-01-01 01:50:58,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 02:00:03,2023-01-01 01:52:18,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 02:30:02,2023-01-01 02:21:24,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 02:30:02,2023-01-01 02:21:13,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 02:30:02,2023-01-01 02:22:34,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 03:00:03,2023-01-01 02:51:43,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 03:00:03,2023-01-01 02:51:30,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 03:00:03,2023-01-01 02:52:51,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 03:30:02,2023-01-01 03:22:02,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 03:30:02,2023-01-01 03:21:46,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 03:30:02,2023-01-01 03:27:15,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 04:00:02,2023-01-01 03:52:21,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 04:00:02,2023-01-01 03:52:02,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 04:00:02,2023-01-01 03:57:32,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 04:30:02,2023-01-01 04:22:40,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 04:30:02,2023-01-01 04:22:18,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 04:30:02,2023-01-01 04:27:48,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 05:00:03,2023-01-01 04:52:59,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 05:00:03,2023-01-01 04:52:35,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 05:00:03,2023-01-01 04:53:51,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 05:30:02,2023-01-01 05:20:14,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 05:30:02,2023-01-01 05:25:38,DEVERELL PLACE,30,28,2,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 05:30:02,2023-01-01 05:27:32,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 06:00:04,2023-01-01 05:50:33,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 06:00:04,2023-01-01 05:55:55,DEVERELL PLACE,30,28,2,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 06:00:04,2023-01-01 05:54:12,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 06:30:02,2023-01-01 06:29:53,HIGH STREET,29,27,2,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 06:30:02,2023-01-01 06:26:11,DEVERELL PLACE,30,28,2,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 06:30:02,2023-01-01 06:24:30,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 07:00:03,2023-01-01 06:59:26,HIGH STREET,29,26,3,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 07:00:03,2023-01-01 06:56:28,DEVERELL PLACE,30,28,2,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 07:00:03,2023-01-01 06:58:44,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 07:30:03,2023-01-01 07:29:47,HIGH STREET,29,28,1,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 07:30:03,2023-01-01 07:28:39,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 07:30:03,2023-01-01 07:27:21,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 08:00:03,2023-01-01 07:50:00,HIGH STREET,29,28,1,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 08:00:03,2023-01-01 07:58:55,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 08:00:03,2023-01-01 07:57:37,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 08:30:03,2023-01-01 08:24:20,HIGH STREET,29,29,0,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 08:30:03,2023-01-01 08:29:12,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 08:30:03,2023-01-01 08:27:53,JOHN STREET WEST,31,5,26,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 09:00:03,2023-01-01 08:59:22,HIGH STREET,29,28,1,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 09:00:03,2023-01-01 08:59:28,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 09:00:03,2023-01-01 08:53:29,JOHN STREET WEST,31,6,25,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 09:30:02,2023-01-01 09:29:41,HIGH STREET,29,28,1,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 09:30:02,2023-01-01 09:29:44,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
72,2023-01-01 09:30:02,2023-01-01 09:28:51,JOHN STREET WEST,31,6,25,OPEN,John Street West,53.3431,-6.27717,2023,1
7,2023-01-01 10:00:03,2023-01-01 09:49:53,HIGH STREET,29,28,1,OPEN,High Street,53.3436,-6.27507,2023,1
45,2023-01-01 10:00:03,2023-01-01 09:49:54,DEVERELL PLACE,30,27,3,OPEN,Deverell Place,53.3515,-6.25527,2023,1
